|idJ|titreJ                          |editeurJ                              |anneeJ    |descJ                            |prixJ|imgJ                                                                                                                                                                                              |
|---|--------------------------------|--------------------------------------|----------|---------------------------------|-----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|1  |Foxhole                         |SIEGE CAMP                            |2016-08-04|MMORPG en coopération            |1,5  |https://thumbnails.pcgamingwiki.com/1/1f/Foxhole_cover.jpg/300px-Foxhole_cover.jpg                                                                                                                |
|2  |Grand Theft Auto V              |Rockstar Games                        |2013-09-17|Action-aventure en monde ouvert  |1,9  |https://i.pinimg.com/originals/c5/09/c3/c509c3c81351027a2568221bfd74d8d7.jpg                                                                                                                      |
|3  |Hearts of Iron IV               |Paradox Games                         |2016-06-06|Stratégie                        |1,9  |https://gpstatic.com/acache/30/30/1/fr/t620x300-62e94797bbdfb58353eeb7b8348096a8.jpg                                                                                                              |
|4  |Minecraft                       |Mojang                                |2011-11-18|Sandbox créatif                  |1,6  |https://i.stack.imgur.com/dqVlX.png                                                                                                                                                               |
|5  |Fortnite                        |Epic Games                            |2017-07-25|Battle Royale                    |0,5  |https://gaming-cdn.com/images/products/2500/orig/fortnite-pc-jeu-epic-games-cover.jpg?v=1695111218                                                                                                |
|6  |Overwatch                       |Blizzard Entertainment                |2016-05-24|Jeu de tir en équipe             |3,3  |https://gaming-cdn.com/images/products/2208/orig/overwatch-pc-jeu-battle-net-cover.jpg?v=1668415006                                                                                               |
|7  |FIFA 22                         |Electronic Arts                       |2021-10-01|Simulation de football           |4,5  |https://gaming-cdn.com/images/products/2208/orig/overwatch-pc-jeu-battle-net-cover.jpg?v=1668415006                                                                                               |
|8  |Call of Duty: Warzone           |Activision                            |2020-03-10|Battle Royale                    |0,5  |https://s3-eu-central-1.amazonaws.com/www-staging.esports.com/WP%20Media%20Folder%20-%20esports-com//var/app/current/web/app/uploads/2021/06/Call-of-Duty-Season-4-Warzone-Cover-Image-720x405.jpg|
|9  |The Elder Scrolls V: Skyrim     |Bethesda Softworks                    |2011-11-11|Action RPG                       |3,1  |https://assets.altarofgaming.com/wp-content/uploads/2022/06/the-elder-scrolls-v-skyrim-game-cover-altar-of-gaming.jpg                                                                             |
|10 |Apex Legends                    |Electronic Arts                       |2019-02-04|Battle Royale                    |0,5  |https://mms.businesswire.com/media/20190204005535/en/703803/4/APEX_Primary_Art_72dpi_RGB_FIN.jpg                                                                                                  |
|11 |World of Warcraft               |Blizzard Entertainment                |2004-11-23|MMORPG                           |2    |https://sm.ign.com/ign_fr/cover/w/world-of-w/world-of-warcraft-classic_u88j.jpg                                                                                                                   |
|12 |Counter-Strike: Global Offensive|Valve                                 |2012-08-21|Jeu de tir à la première personne|1,1  |https://www.gbhbl.com/wp-content/uploads/2022/02/CSGO.jpg                                                                                                                                         |
|13 |Mortal Kombat 11                |Warner Bros. Interactive Entertainment|2019-04-23|Jeu de combat                    |2,8  |https://static.actugaming.net/media/2018/12/mortal-kombat-11-cover-1.jpg                                                                                                                          |
|14 |Rocket League                   |Psyonix                               |2015-07-07|Jeu de sport automobile          |1,1  |https://www.operationsports.com/wp-content/uploads/2021/07/Rocket-League%C2%AE_20210716092816-scaled.jpg?resize=1000%2C600                                                                        |
|15 |The Sims 4                      |Electronic Arts                       |2014-09-02|Simulation de vie                |2,4  |https://gaming-cdn.com/images/products/272/orig/les-sims-4-pc-mac-jeu-ea-app-cover.jpg?v=1687537282                                                                                               |
|16 |Dota 2                          |Valve                                 |2013-07-09|MOBA                             |0,5  |https://business-portal-bucket.s3.amazonaws.com/media/images/41e172c318357d632f53b92d8cb38661_large_cover.original.jpg                                                                            |
|17 |Rainbow Six Siege               |Ubisoft                               |2015-12-01|Tactique en équipe               |1,4  |https://staticg.sportskeeda.com/editor/2020/02/fb6ac-15814681607008-800.jpg                                                                                                                       |
|18 |Assassin's Creed Odyssey        |Ubisoft                               |2018-10-05|Action RPG                       |4,2  |https://staticctf.ubisoft.com/J3yJr34U2pZ2Ieem48Dwy9uqj5PNUQTn/5KuqRrODm37CsqpMHc4Sxk/2468170b919029ce8604b66d4bc2e272/ubinews-kassandra_reveal-boxartwork-thumbnail_333173.jpg                   |
|19 |Fallout 4                       |Bethesda Softworks                    |2015-11-10|Action RPG                       |1,8  |https://i.ebayimg.com/images/g/LG4AAOSwabBdk1XV/s-l1200.webp                                                                                                                                      |
|20 |Genshin Impact                  |miHoYo                                |2020-09-28|Action RPG                       |0,5  |https://www.ecranlarge.com/uploads/image/001/398/genshin-impact-cover-1398052.jpg                                                                                                                 |
|21 |Dark Souls III                  |Bandai Namco Entertainment            |2016-04-12|Action RPG                       |3,9  |https://gameactu.eu/wp-content/uploads/2016/05/darksouls3-une.jpg                                                                                                                                 |
|22 |Tom Clancy's The Division 2     |Ubisoft                               |2019-03-15|Action RPG                       |2,4  |https://cdn.mobygames.com/covers/7685527-tom-clancys-the-division-2-playstation-4-front-cover.png                                                                                                 |
